B001	B001	-0.0246943	-0.00630189	-0.0444028	-0.000212726	0.00263779
B002	B002	-0.0267517	-0.00607806	-0.0470508	-0.000810619	0.0033908
B003	B003	-0.028054	-0.00563941	-0.0164099	-0.00438997	0.00444969
B004	B004	-0.0291513	-0.00620424	-0.0524959	-0.000713969	0.0044177
B005	B005	-0.0291092	-0.00619696	-0.0519704	-0.000277776	0.00449045
B006	B006	0.0150093	-0.00825926	-0.000542969	5.00225e-05	-0.00663471
B007	B007	0.0146443	-0.00715067	-0.000574249	-0.000803321	0.0031148
B008	B008	-0.0289908	-0.00598152	-0.0493327	-0.00010828	0.00422271
B009	B009	0.0141398	-0.00790382	-0.00267743	-0.00321117	-0.0410065
B010	B010	0.0135161	-0.00718367	-0.00266856	-0.00314517	-0.044119
B011	B011	0.0139423	0.00056223	-0.00195463	-0.00193197	-0.0244294
B012	B012	0.0112837	0.000570711	-0.000949293	-0.000672475	-0.00665239
B013	B013	0.0075402	-0.00677807	-0.00765339	-0.000573564	-0.00551506
B014	B014	-0.0217454	-0.00676163	-0.0362255	-0.00314523	0.00410222
B015	B015	0.0145884	-0.0079133	-0.00308173	-0.00422445	-0.0584809
B016	B016	-0.0289383	-0.00498456	-0.0361057	0.00292989	0.00315881
B017	B017	-0.028006	-0.00506485	-0.0424075	0.00296207	0.00398119
B018	B018	-0.0285057	-0.00586475	0.0326624	-0.0216374	-0.000655559
B019	B019	0.0135545	-0.00760873	0.000632373	-0.0012152	0.00734093
B020	B020	-0.00449041	-0.00617926	0.0146906	-0.00890774	-0.0113498
B021	B021	0.0125955	-0.00775686	-0.00110242	0.00043731	-0.00247531
B023	B023	-0.0217566	-0.00599985	-0.0363593	0.00148648	-0.000828991
B024	B024	0.0135671	-0.00712617	-0.00271893	-0.00285261	-0.0367316
B025	B025	-0.026219	-0.005222	0.0276175	-0.0113583	0.000384314
B026	B026	0.0139072	0.000544058	-0.00197532	-0.00194408	-0.0244676
B027	B027	0.0139031	-0.00849613	0.00302289	0.000856438	0.0299215
B028	B028	0.0128929	-0.00689995	-0.00404314	-0.0023098	-0.0287625
B029	B029	0.0102696	-0.00685733	-0.00620987	-0.00129476	-0.0213399
B030	B030	0.0143102	-0.0055808	3.38423e-05	0.00311505	0.00691449
B031	B031	0.014611	-0.00187004	-0.000253849	9.5232e-05	-0.00104054
B032	B032	0.0142692	-0.00604188	-0.00312434	-0.00217587	-0.0193906
B033	B033	0.0145259	-0.00844372	-0.00120249	-0.000982689	-0.0191003
B034	B034	-0.0295034	-0.00591579	-0.0488323	-0.000515609	0.00476274
B035	B035	0.0103224	-0.00715412	0.000422883	-0.00111031	-0.0117203
B036	B036	-0.028336	-0.00544781	-0.00757929	-0.00513142	0.00398991
B037	B037	-0.0224835	-0.00642224	0.0120692	-0.0153792	-0.000594604
B038	B038	-0.0275327	-0.00568353	-0.0284758	-0.00214396	0.00282699
B039	B039	0.000817407	-0.00752297	-0.0180659	-0.00133014	-0.0152665
B040	B040	0.0151126	-0.00722462	-0.00288197	-0.00277914	-0.0387211
B043	B043	-0.0283204	-0.00488228	0.0242675	-0.0180599	-0.000698111
B044	B044	0.00564192	-0.00288457	0.00365187	0.023267	-0.00834505
B045	B045	-0.0289738	-0.00580352	-0.0504549	-0.000656313	0.00472705
B046	B046	-0.0292629	-0.00629525	-0.0520438	-0.0007317	0.00428834
B048	B048	0.0139027	-0.00606466	-0.000761112	0.000382397	0.00755456
B049	B049	0.00116686	0.0478523	-0.0032959	-0.0100842	-0.00259307
B051	B051	0.013307	-0.00761731	-0.000529269	-0.00241096	-0.0156455
B052	B052	0.0104732	0.0201283	0.000380253	-0.00564645	0.000838848
B053	B053	-0.0241112	-0.00624224	0.0115614	-0.0150345	-0.00235772
B054	B054	-0.0287421	-0.00590273	0.0220217	-0.018568	-0.000118463
B055	B055	-0.0216618	-0.00659944	-0.0300484	-0.00424175	-0.00546331
B056	B056	-0.0272315	-0.00552534	-0.0449629	0.00425279	0.00363843
B057	B057	-0.0268063	-0.00606966	-0.0489953	0.00206542	0.00270374
B058	B058	0.0143481	-0.00845099	-0.00131152	-0.000966192	-0.0190273
B059	B059	0.0143101	-0.00769921	-0.00349861	-0.00407494	-0.0521008
B060	B060	0.0145699	-0.00944849	-0.00349277	-0.00402639	-0.0584411
B061	B061	0.0145154	-0.00892872	-0.00332174	-0.00386338	-0.0577271
B062	B062	0.0134647	-0.00813861	-0.00290046	-0.00411297	-0.0456614
