0	IRIS_313-50642-1	0
0	IRIS_313-42469-1	1
0	IRIS_313-12881-1	9
0	IRIS_313-12485-1	1
0	IRIS_313-67848-1	0
0	IRIS_313-9074-1	0
0	IRIS_313-27516-2	5
0	IRIS_313-6588-1	5
0	IRIS_313-28303-1	1
0	IRIS_313-28016-1	5
0	IRIS_313-66831-1	0
0	IRIS_313-21780-1	0
0	IRIS_313-64778-1	1
0	IRIS_313-25838-1	1
0	IRIS_313-20709-1	0
0	IRIS_313-73127-1	9
0	IRIS_313-25845-1	1
0	IRIS_313-25855-1	0
0	IRIS_313-76296-1	1
0	IRIS_313-34699-1	0
0	IRIS_313-36345-1	1
0	IRIS_313-66815-1	1
0	IRIS_313-67631-1	9
0	IRIS_313-27748-2	0
0	IRIS_313-4785-1	0
0	IRIS_313-60751-1	0
0	IRIS_313-62604-1	0
0	IRIS_313-17083-1	0
0	IRIS_313-55346-1	1
0	IRIS_313-14546-1	0
0	IRIS_313-57496-1	9
0	IRIS_313-10430-1	0
0	IRIS_313-9389-1	5
0	IRIS_313-8193-1	5
0	IRIS_313-8269-1	0
0	IRIS_313-3394-1	0
0	IRIS_313-48733-1	0
0	IRIS_313-57692-1	0
0	IRIS_313-14567-1	0
0	IRIS_313-71514-1	0
0	IRIS_313-60162-1	0
0	IRIS_313-32406-1	0
0	IRIS_313-64657-1	0
0	IRIS_313-66669-1	0
0	IRIS_313-9091-1	0
0	IRIS_313-5999-1	0
0	IRIS_313-73090-1	1
0	IRIS_313-3461-1	1
0	IRIS_313-51049-1	9
0	IRIS_313-73124-1	1
0	IRIS_313-35154-1	1
0	IRIS_313-43915-1	0
0	IRIS_313-31611-1	0
0	IRIS_313-36333-1	0
0	IRIS_313-27594-1	1
0	IRIS_313-46459-1	0
0	IRIS_313-67434-1	0
0	IRIS_313-8993-1	0
0	IRIS_313-69349-1	1
0	IRIS_313-8948-1	0
0	IRIS_313-41146-1	0
0	IRIS_313-59710-1	0
0	IRIS_313-47383-1	0
0	IRIS_313-5496-1	0
0	IRIS_313-53437-1	0
0	IRIS_313-50009-1	0
0	IRIS_313-69340-1	0
0	IRIS_313-55849-1	0
0	IRIS_313-40081-1	0
0	IRIS_313-59348-1	1
0	IRIS_313-286-1	0
0	IRIS_313-16292-1	7
0	IRIS_313-78342-1	0
0	IRIS_313-74613-1	0
0	IRIS_313-71559-1	0
0	IRIS_313-71646-1	0
0	IRIS_313-3408-1	0
0	IRIS_313-78629-1	0
0	IRIS_313-21528-1	0
0	IRIS_313-10669-1	0
0	IRIS_313-71556-1	0
0	IRIS_313-58930-1	0
0	IRIS_313-20491-1	0
0	IRIS_313-29221-1	1
0	IRIS_313-73101-1	0
0	IRIS_313-33990-1	0
0	IRIS_313-73121-1	1
0	IRIS_313-11000-1	0
0	IRIS_313-32575-1	0
0	IRIS_313-1667-1	0
0	IRIS_313-43322-1	0
0	IRIS_313-9790-1	0
0	IRIS_313-6046-1	0
0	IRIS_313-68878-1	7
0	IRIS_313-78426-1	0
0	IRIS_313-51231-1	0
0	IRIS_313-52339-1	0
0	IRIS_313-39291-1	0
0	IRIS_313-27138-1	0
0	IRIS_313-12144-1	0
0	IRIS_313-62202-1	0
0	IRIS_313-77284-1	0
0	IRIS_313-63098-1	0
0	IRIS_313-80950-1	0
0	IRIS_313-6671-1	0
0	IRIS_313-64509-1	0
0	IRIS_313-90-1	0
0	IRIS_313-3130-1	0
0	IRIS_313-9305-1	0
0	IRIS_313-11335-1	0
0	IRIS_313-54201-1	9
0	IRIS_313-67436-1	0
0	IRIS_313-32301-1	7
0	IRIS_313-47151-1	9
0	IRIS_313-78369-1	0
0	IRIS_313-48493-1	0
0	IRIS_313-64935-1	0
0	IRIS_313-2564-1	0
0	IRIS_313-43741-1	0
0	IRIS_313-9070-1	0
0	IRIS_313-41068-1	0
0	IRIS_313-63517-1	1
0	IRIS_313-13389-1	0
0	IRIS_313-69890-1	0
0	IRIS_313-67857-1	0
0	IRIS_313-38522-1	0
0	IRIS_313-38535-1	0
0	IRIS_313-27798-1	1
0	IRIS_313-12331-1	1
0	IRIS_313-14487-1	0
0	IRIS_313-62530-1	1
0	IRIS_313-15449-1	5
0	IRIS_313-7014-1	0
0	IRIS_313-74779-1	0
0	IRIS_313-35563-1	0
0	IRIS_313-49333-1	0
0	IRIS_313-18254-1	0
0	IRIS_313-1565-1	0
0	IRIS_313-22604-1	0
0	IRIS_313-32671-1	0
0	IRIS_313-63599-1	0
0	IRIS_313-63561-1	0
0	IRIS_313-61667-1	0
0	IRIS_313-49094-1	0
0	IRIS_313-5891-1	0
0	IRIS_313-43299-1	0
0	IRIS_313-4955-1	0
0	IRIS_313-42316-1	0
0	IRIS_313-78276-1	0
0	IRIS_313-11462-1	0
0	IRIS_313-77293-1	1
0	IRIS_313-67559-1	1
0	IRIS_313-43489-1	0
0	IRIS_313-49790-1	1
0	IRIS_313-21727-1	0
0	IRIS_313-22417-1	0
0	IRIS_313-53630-1	0
0	IRIS_313-24484-1	0
0	IRIS_313-42695-1	0
0	IRIS_313-52523-1	0
0	IRIS_313-77292-1	1
0	IRIS_313-1368-1	0
0	IRIS_313-63113-1	0
0	IRIS_313-58245-1	1
0	IRIS_313-64333-1	0
0	IRIS_313-65866-1	0
0	IRIS_313-33885-1	0
0	IRIS_313-74774-1	1
0	IRIS_313-27526-1	0
0	IRIS_313-67742-1	0
0	IRIS_313-55278-1	7
0	IRIS_313-38320-1	0
0	IRIS_313-18624-1	0
0	IRIS_313-74782-1	0
0	IRIS_313-61127-1	0
0	IRIS_313-40896-1	0
0	IRIS_313-67707-1	0
0	IRIS_313-14623-1	0
0	IRIS_313-38390-1	0
0	IRIS_313-41374-1	0
0	IRIS_313-6129-1	0
0	IRIS_313-27522-1	0
0	IRIS_313-77226-1	0
0	IRIS_313-70188-1	0
0	IRIS_313-8267-1	0
0	IRIS_313-68159-1	0
0	IRIS_313-78267-1	0
0	IRIS_313-41663-1	0
0	IRIS_313-69653-1	1
0	IRIS_313-67968-1	0
0	IRIS_313-61133-1	9
0	IRIS_313-52184-1	0
0	IRIS_313-36304-1	0
0	IRIS_313-77279-1	0
0	IRIS_313-37562-1	0
0	IRIS_313-47650-1	0
0	IRIS_313-63619-1	0
0	IRIS_313-42672-1	0
0	IRIS_313-44357-1	9
0	IRIS_313-20098-1	0
0	IRIS_313-6179-1	0
